college,state,division,type
William Smith College[A 10][A 1],851,Division III,Liberty League
Whittier College,859,Division III,Southern California Intercollegiate Athletic Conference
Martin Luther College,860,Division III,Upper Midwest Athletic Conference
Huntingdon College,869,Division III,Collegiate Conference of the South
Vermont State University–Lyndon,871,Division III,North Atlantic Conference
Hampden–Sydney College,876,Division III,Old Dominion Athletic Conference
Greensboro College,898,Division III,USA South Athletic Conference
William Paterson University,"9,426",Division III,New Jersey Athletic Conference
Farmingdale State College,"9,541",Division III,Skyline Conference
Bridgewater State University,"9,550",Division III,Massachusetts State Collegiate Athletic Conference
Chapman University,"9,961",Division III,Southern California Intercollegiate Athletic Conference
University of Wisconsin–Eau Claire,"9,991",Division III,Wisconsin Intercollegiate Athletic Conference
Bethany Lutheran College,902,Division III,Upper Midwest Athletic Conference
Maine Maritime Academy,913,Division III,North Atlantic Conference
Washington College,916,Division III,Centennial Conference
Thiel College,920,Division III,Presidents' Athletic Conference
Covenant College,928,Division III,Collegiate Conference of the South
Massachusetts College of Liberal Arts,933,Division III,Massachusetts State Collegiate Athletic Conference
Beloit College,948,Division III,Midwest Conference
Colby–Sawyer College,950,Division III,Great Northeast Athletic Conference
Pfeiffer University,954,Division III,USA South Athletic Conference
Illinois College,958,Division III,Midwest Conference
United States Merchant Marine Academy,961,Division III,Skyline Conference
Wilmington College,964,Division III,Ohio Athletic Conference
Franklin College,966,Division III,Heartland Collegiate Athletic Conference
Southern Virginia University,967,Division III,USA South Athletic Conference
Hilbert College,973,Division III,Allegheny Mountain Collegiate Conference
University of Olivet,973,Division III,Michigan Intercollegiate Athletic Association
Maranatha Baptist University,977,Division III,Independent
St. Joseph's University,980,Division III,Skyline Conference
North Central University,984,Division III,Upper Midwest Athletic Conference
