college,state,division,type
Young Harris College,"1,922",Division II,Conference Carolinas
Kentucky State University,"1,932",Division II,Southern Intercollegiate Athletic Conference
Concord University,"1,943",Division II,Mountain East Conference
St. Thomas Aquinas College,"1,950",Division II,East Coast Conference
Claflin University,"1,960",Division II,Central Intercollegiate Athletic Association
Converse University,"1,967",Division II,Conference Carolinas
Seton Hill University,"1,989",Division II,Pennsylvania State Athletic Conference
Colorado Mesa University,"10,139",Division II,Rocky Mountain Athletic Conference
St. Cloud State University,"10,164",Division II,Northern Sun Intercollegiate Conference
University of Texas at Tyler,"10,183",Division II,Lone Star Conference
Valdosta State University,"10,305",Division II,Gulf South Conference
Colorado Christian University,"10,563",Division II,Rocky Mountain Athletic Conference
University of Alaska Anchorage,"10,687",Division II,Great Northwest Athletic Conference
University of Puerto Rico at Mayagüez,"10,716",Division II,Independent
College of Staten Island,"10,973",Division II,East Coast Conference
University of Colorado Colorado Springs,"11,213",Division II,Rocky Mountain Athletic Conference
University of Tampa,"11,429",Division II,Sunshine State Conference
University of Puerto Rico at Río Piedras,"11,493",Division II,Independent
Angelo State University,"11,542",Division II,Lone Star Conference
Augusta University,"11,584",Division II,Peach Belt Conference
"California State University, East Bay","12,323",Division II,California Collegiate Athletic Association
University of Central Oklahoma,"12,554",Division II,Mid-America Intercollegiate Athletics Association
Fort Hays State University,"12,843",Division II,Mid-America Intercollegiate Athletics Association
University of Central Missouri,"12,857",Division II,Mid-America Intercollegiate Athletics Association
"California State University, Chico","13,504",Division II,California Collegiate Athletic Association
Pace University,"14,092",Division II,Northeast-10 Conference
Saint Leo University,"14,190",Division II,Sunshine State Conference
"California State University, Dominguez Hills","14,299",Division II,California Collegiate Athletic Association
Western Washington University,"14,700",Division II,Great Northwest Athletic Conference
"Minnesota State University, Mankato","14,709",Division II,Northern Sun Intercollegiate Conference
University of Missouri-St. Louis,"14,787",Division II,Great Lakes Valley Conference
University of West Florida,"14,797",Division II,Gulf South Conference
California State University San Marcos,"14,999",Division II,California Collegiate Athletic Association
