College,Fraternity Name,Instagram Handle
"DePaul University","Sigma Chi",""
"DePaul University","",""
"DePaul University","",""
"DePaul University","",""
"DePaul University","",""
"DePauw University","",""
"DePauw University","",""
"DePauw University","",""
"DePauw University","",""
"DePauw University","",""
"DePauw University","",""
"DePauw University","",""
"Dickinson College","",""
"Dickinson College","",""
"Dickinson College","",""
"Dickinson College","",""
"Drake University","",""
"Drake University","",""
"Drake University","",""
"Drake University","",""
"Drake University","",""
"Drake University","",""
"Drake University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","Delta Sigma Phi",""
"Drexel University","Alpha Epsilon Pi",""
"Drexel University","Lambda Chi Alpha",""
"Drexel University","Beta Chi Theta",""
"Drexel University","",""
"Drexel University","Beta Theta Pi",""
"Drexel University","Alpha Chi Rho",""
"Drexel University","Sigma Alpha Mu",""
"Drexel University","Tau Kappa Epsilon",""
"Drexel University","Pi Kappa Phi",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drexel University","",""
"Drury University","",""
"Drury University","",""
"Drury University","",""
"Drury University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","Sigma Chi","@dukesigmachi"
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"Duke University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","",""
"East Carolina University","Sigma Phi Epsilon",""
"East Tennessee State University","",""
"East Tennessee State University","",""
"East Tennessee State University","",""
"East Tennessee State University","",""
"East Tennessee State University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","Sigma Chi",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Illinois University","",""
"Eastern Kentucky University","Sigma Chi",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Kentucky University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern Michigan University","",""
"Eastern New Mexico University","",""
"Eastern New Mexico University","",""
"Elizabeth City State University","",""
"Elizabeth City State University","",""
"Elizabeth City State University","",""
"Elizabeth City State University","",""
"Elmhurst University","",""
"Elmhurst University","",""
"Elmhurst University","",""
"Elmhurst University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Elon University","",""
"Embry-Riddle Aeronautical University","",""
"Embry-Riddle Aeronautical University","",""
"Embry-Riddle Aeronautical University","",""
"Embry-Riddle Aeronautical University","",""
"Embry-Riddle Aeronautical University","",""
"Embry-Riddle Aeronautical University","",""
"Embry-Riddle Aeronautical University-Daytona Beach","Sigma Chi",""
"Embry-Riddle Aeronautical University-Prescott","Sigma Chi",""
"Emerson College","",""
"Emory University","Sigma Chi",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emory University","",""
"Emporia State University","",""
"Emporia State University","",""
"Emporia State University","",""
"Emporia State University","",""
"Emporia State University","",""
"Emporia State University","",""
"Emporia State University","",""
"Eureka College","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","",""
"Fairleigh Dickinson University","Sigma Chi",""
"Fairleigh Dickinson University","",""
"Farmingdale State College","",""
"Farmingdale State College","",""
"Fayetteville State University","",""
"Fayetteville State University","",""
"Fayetteville State University","",""
"Fayetteville State University","",""
"Ferris State University","",""
"Ferris State University","",""
"Ferris State University","",""
"Ferris State University","",""
"Ferris State University","",""
"Ferris State University","",""
"Ferris State University","",""
"Fitchburg State University","",""
"Fitchburg State University","",""
"Fitchburg State University","",""
"Florida Agricultural and Mechanical University","Sigma Chi",""
"Florida Atlantic University","Sigma Phi Epsilon",""
"Florida Atlantic University","",""
"Florida Atlantic University","Kappa Alpha Psi",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","",""
"Florida Atlantic University","Delta Tau Delta",""
"Florida Atlantic University","Phi Delta Theta",""
"Florida Atlantic University","",""
"Florida Atlantic University","Beta Chi Theta",""
"Florida Atlantic University","Alpha Epsilon Pi",""
"Florida Atlantic University","Sigma Nu",""
"Florida Atlantic University","Triangle",""
"Florida Atlantic University","",""
"Florida Atlantic University","Kappa Sigma",""
"Florida Atlantic University","Pi Kappa Phi",""
"Florida Atlantic University","Sigma Chi",""
"Florida Atlantic University","Pi Kappa Alpha",""
"Florida Gulf Coast University","",""
"Florida Gulf Coast University","",""
"Florida Gulf Coast University","",""
"Florida Gulf Coast University","Alpha Epsilon Pi",""
"Florida Gulf Coast University","Sigma Chi",""
"Florida Gulf Coast University","",""
"Florida Gulf Coast University","Sigma Phi Epsilon",""
"Florida Gulf Coast University","Pi Kappa Phi",""
"Florida Gulf Coast University","Beta Theta Pi",""
"Florida Gulf Coast University","Kappa Alpha Order",""
"Florida Gulf Coast University","Pi Kappa Alpha",""
"Florida Gulf Coast University","Phi Delta Theta",""
"Florida Gulf Coast University","Kappa Sigma",""
"Florida Gulf Coast University","Alpha Tau Omega",""
"Florida Gulf Coast University","",""
"Florida Gulf Coast University","",""
"Florida Gulf Coast University","",""
"Florida Institute of Technology","",""
"Florida Institute of Technology","",""
"Florida Institute of Technology","",""
"Florida International University","Sigma Chi",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida International University","",""
"Florida Southern College","",""
"Florida Southern College","",""
"Florida Southern College","",""
"Florida Southern College","",""
"Florida Southern College","",""
"Florida Southern College","",""
"Florida Southern College","",""
"Florida Southern College","Sigma Chi",""
"Florida State University","Sigma Chi","@fsusigmachi"
"Fort Hays State University","",""
"Fort Hays State University","",""
"Fort Hays State University","",""
"Fort Hays State University","",""
"Francis Marion University","",""
"Francis Marion University","",""
"Francis Marion University","",""
"Franklin College","",""
"Franklin College","",""
"Franklin College","",""
"Franklin College","",""
"Franklin College","",""
"Franklin College","",""
"Franklin College","",""
"Franklin College","",""
"Frostburg State University","",""
"Frostburg State University","",""
"Frostburg State University","",""
"Frostburg State University","",""
"Furman University","",""
"Furman University","",""
"Furman University","",""
"Furman University","",""
"Furman University","",""
"Furman University","",""
"Furman University","",""
"Furman University","",""
"Furman University","Sigma Chi",""
"Gallaudet University","",""
"Gannon University","",""
"Gannon University","",""
"Gannon University","",""
"Gannon University","",""
"Gannon University","",""
"George Mason University","Sigma Chi",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"George Mason University","",""
"Georgetown University","",""
"Georgetown University","",""
"Georgetown University","",""
"Georgetown University","",""
"Georgetown University","",""
"Georgetown University","",""
"Georgetown University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia College & State University","",""
"Georgia Southern University","",""
"Georgia Southern University","Iota Phi Theta",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","",""
"Georgia Southern University","Alpha Sigma Phi",""
"Georgia Southern University","Phi Sigma Kappa",""
"Georgia Southern University","Phi Kappa Theta",""
"Georgia Southern University","Tau Kappa Epsilon",""
"Georgia Southern University","Alpha Epsilon Pi",""
"Georgia Southern University","Delta Sigma Phi",""
"Georgia Southern University","Sigma Nu",""
