College,Sorority Name,Instagram Handle
"Bradley University","Delta Sigma Theta",""
"Bradley University","Sigma Kappa",""
"Brandeis University","Kappa Beta Gamma",""
"Brandeis University","Delta Phi Epsilon",""
"Brandeis University","Sigma Delta Tau",""
"Brandeis University","Sigma Alpha Epsilon Pi",""
"Brandeis University","Alpha Pi Phi",""
"Bridgewater State University","Alpha Sigma Tau",""
"Bridgewater State University","Phi Sigma Sigma",""
"Bridgewater State University","Delta Phi Epsilon",""
"Bridgewater State University","Gamma Phi Beta",""
"Brigham Young University","Kappa Delta",""
"Brigham Young University","Alpha Delta Pi",""
"Brigham Young University","Chi Omega",""
"Brigham Young University","Delta Gamma",""
"Brigham Young University","Alpha Delta Chi",""
"Brooklyn College","Theta Phi Gamma",""
"Brooklyn College","Alpha Xi Delta",""
"Brooklyn College","Sigma Gamma Rho",""
"Brooklyn College","Alpha Epsilon Phi",""
"Brooklyn College","Zeta Phi Beta",""
"Brooklyn College","Delta Sigma Theta",""
"Brooklyn College","Alpha Kappa Alpha",""
"Brown University","Delta Gamma",""
"Brown University","Kappa Alpha Theta",""
"Brown University","Alpha Chi Omega",""
"Brown University","Kappa Delta",""
"Bryant University","",""
"Bryant University","Sigma Sigma Sigma",""
"Bryant University","Phi Sigma Sigma",""
"Bryant University","Delta Zeta",""
"Bucknell University","Pi Beta Phi",""
"Bucknell University","Zeta Phi Beta",""
"Bucknell University","",""
"Bucknell University","Delta Sigma Theta",""
"Bucknell University","Kappa Kappa Gamma",""
"Bucknell University","",""
"Bucknell University","",""
"Bucknell University","Mu Sigma Upsilon",""
"Bucknell University","Alpha Delta Pi",""
"Bucknell University","Delta Zeta",""
"Bucknell University","Delta Gamma",""
"Bucknell University","Alpha Chi Omega",""
"Bucknell University","Alpha Xi Delta",""
"Bucknell University","Chi Omega",""
"Bucknell University","Kappa Alpha Theta",""
"Bucknell University","Delta Delta Delta",""
"Butler University","Delta Delta Delta",""
"Butler University","Alpha Chi Omega",""
"Butler University","Pi Beta Phi",""
"Butler University","Alpha Phi",""
"Butler University","Kappa Alpha Theta",""
"Butler University","Kappa Kappa Gamma",""
"Butler University","Delta Gamma",""
"Caldwell University","Lambda Tau Omega",""
"Caldwell University","Delta Phi Epsilon",""
"Caldwell University","Kappa Beta Gamma",""
"California Polytechnic State University","Alpha Phi",""
"California Polytechnic State University","Delta Delta Delta",""
"California Polytechnic State University","Delta Gamma",""
"California Polytechnic State University","Alpha Gamma Delta",""
"California Polytechnic State University","Alpha Epsilon Phi",""
"California Polytechnic State University","Alpha Chi Omega",""
"California Polytechnic State University","Lambda Sigma Gamma",""
"California Polytechnic State University","Chi Delta Theta",""
"California Polytechnic State University","Alpha Omicron Pi",""
"California Polytechnic State University","Kappa Kappa Gamma",""
"California Polytechnic State University","Kappa Alpha Theta",""
"California Polytechnic State University","Chi Omega",""
"California Polytechnic State University","Sigma Kappa",""
"California Polytechnic State University","Gamma Phi Beta",""
"California State Polytechnic University, Pomona","Zeta Tau Alpha",""
"California State Polytechnic University, Pomona","Chi Omega",""
"California State Polytechnic University, Pomona","Alpha Xi Delta",""
"California State Polytechnic University, Pomona","Sigma Kappa",""
"California State Polytechnic University, Pomona","Kappa Delta",""
"California State Polytechnic University, Pomona","Phi Sigma Rho",""
"California State Polytechnic University, Pomona","Delta Sigma Theta",""
"California State University San Marcos","Alpha Kappa Delta Phi",""
"California State University San Marcos","Alpha Chi Omega",""
"California State University San Marcos","Delta Zeta",""
"California State University San Marcos","Alpha Xi Delta",""
"California State University San Marcos","Alpha Omicron Pi",""
"California State University-Chico","",""
"California State University-Fresno","",""
"California State University-Long Beach","",""
"California State University, Bakersfield","Phi Sigma Sigma",""
"California State University, Bakersfield","Gamma Phi Beta",""
"California State University, Bakersfield","Lambda Sigma Gamma",""
"California State University, Chico","Alpha Delta Pi",""
"California State University, Chico","Alpha Omicron Pi",""
"California State University, Chico","Sigma Kappa",""
"California State University, Chico","Alpha Gamma Delta",""
"California State University, Chico","Lambda Sigma Gamma",""
"California State University, Chico","Alpha Phi",""
"California State University, Chico","Gamma Phi Beta",""
"California State University, Chico","Sigma Alpha",""
"California State University, Chico","Delta Psi Delta",""
"California State University, Chico","Lambda Theta Nu",""
"California State University, Dominguez Hills","Phi Sigma Sigma",""
"California State University, Dominguez Hills","Sigma Gamma Rho",""
"California State University, Dominguez Hills","Delta Sigma Theta",""
"California State University, Dominguez Hills","Zeta Phi Beta",""
"California State University, East Bay","Alpha Kappa Alpha",""
"California State University, East Bay","Zeta Phi Beta",""
"California State University, East Bay","Sigma Sigma Sigma",""
"California State University, East Bay","Delta Sigma Theta",""
"California State University, East Bay","Sigma Gamma Rho",""
"California State University, East Bay","Alpha Phi",""
"California State University, East Bay","Lambda Theta Alpha",""
"California State University, Fresno","",""
"California State University, Fresno","Lambda Sigma Gamma",""
"California State University, Fresno","Phi Mu",""
"California State University, Fresno","Alpha Xi Delta",""
"California State University, Fresno","Sigma Theta Psi",""
"California State University, Fresno","Kappa Alpha Theta",""
"California State University, Fresno","Delta Gamma",""
"California State University, Fresno","Kappa Kappa Gamma",""
"California State University, Fresno","Delta Zeta",""
"California State University, Fresno","Sigma Alpha",""
"California State University, Fullerton","Lambda Sigma Gamma",""
"California State University, Fullerton","Sigma Gamma Rho",""
"California State University, Fullerton","Zeta Phi Beta",""
"California State University, Fullerton","Alpha Kappa Alpha",""
"California State University, Fullerton","Alpha Chi Omega",""
"California State University, Fullerton","Gamma Phi Beta",""
"California State University, Fullerton","Sigma Kappa",""
"California State University, Fullerton","Delta Zeta",""
"California State University, Fullerton","Alpha Delta Pi",""
"California State University, Fullerton","Zeta Tau Alpha",""
"California State University, Long Beach","Delta Zeta",""
"California State University, Long Beach","Delta Sigma Theta",""
"California State University, Long Beach","Zeta Tau Alpha",""
"California State University, Long Beach","Zeta Phi Beta",""
"California State University, Long Beach","Lambda Sigma Gamma",""
"California State University, Long Beach","Sigma Gamma Rho",""
"California State University, Long Beach","Sigma Kappa",""
"California State University, Long Beach","Delta Gamma",""
"California State University, Long Beach","Chi Delta Theta",""
"California State University, Long Beach","Delta Delta Delta",""
"California State University, Long Beach","Gamma Phi Beta",""
"California State University, Long Beach","Sigma Phi Omega",""
"California State University, Long Beach","Alpha Phi",""
"California State University, Long Beach","Alpha Omicron Pi",""
"California State University, Long Beach","Alpha Kappa Alpha",""
"California State University, Los Angeles","Delta Zeta",""
"California State University, Los Angeles","Sigma Gamma Rho",""
"California State University, Los Angeles","Lambda Theta Nu",""
"California State University, Los Angeles","Delta Sigma Chi",""
"California State University, Los Angeles","Alpha Sigma Tau",""
"California State University, Los Angeles","Kappa Delta Chi",""
"California State University, Los Angeles","Zeta Phi Beta",""
"California State University, Los Angeles","Delta Sigma Theta",""
"California State University, Los Angeles","Sigma Lambda Gamma",""
