College,Sorority Name,Instagram Handle
"Rutgers University","Delta Sigma Chi",""
"Rutgers University","",""
"Rutgers University","",""
"Rutgers University","",""
"Rutgers University","Delta Phi Epsilon",""
"Rutgers University","",""
"Rutgers University","",""
"Rutgers University","",""
"Rutgers University","",""
"Sacred Heart University","Kappa Delta",""
"Sacred Heart University","Phi Sigma Sigma",""
"Sacred Heart University","Zeta Tau Alpha",""
"Sacred Heart University","Alpha Delta Pi",""
"Sacred Heart University","Kappa Alpha Theta",""
"Sacred Heart University","Delta Zeta",""
"Sacred Heart University","Theta Phi Alpha",""
"Sacred Heart University","Chi Omega",""
"Saginaw Valley State University","Phi Sigma Sigma",""
"Saginaw Valley State University","Alpha Sigma Alpha",""
"Saginaw Valley State University","Zeta Phi Beta",""
"Saint Leo University","Lambda Pi Chi",""
"Saint Leo University","Alpha Sigma Tau",""
"Saint Leo University","Sigma Sigma Sigma",""
"Saint Leo University","Theta Phi Alpha",""
"Saint Leo University","Sigma Gamma Rho",""
"Saint Louis University","Kappa Alpha Theta",""
"Saint Louis University","Kappa Delta",""
"Saint Louis University","Sigma Kappa",""
"Saint Louis University","Phi Mu",""
"Saint Louis University","Gamma Phi Beta",""
"Saint Louis University","Delta Gamma",""
"Saint Louis University","Zeta Tau Alpha",""
"Saint Louis University","Alpha Delta Pi",""
"Salem State University","Sigma Gamma Rho",""
"Salem State University","Alpha Kappa Alpha",""
"Salem State University","Zeta Phi Beta",""
"Salem State University","Theta Phi Alpha",""
"Salem State University","Phi Sigma Sigma",""
"Salisbury University","Phi Mu",""
"Salisbury University","Delta Gamma",""
"Salisbury University","Zeta Tau Alpha",""
"Salisbury University","Alpha Sigma Tau",""
"Sam Houston State University","Kappa Delta Chi",""
"Sam Houston State University","Alpha Chi Omega",""
"Sam Houston State University","Sigma Sigma Sigma",""
"Sam Houston State University","Alpha Omicron Pi",""
"Sam Houston State University","Delta Xi Nu",""
"Sam Houston State University","Sigma Lambda Gamma",""
"Sam Houston State University","Sigma Gamma Rho",""
"Sam Houston State University","Zeta Phi Beta",""
"Sam Houston State University","Alpha Kappa Alpha",""
"Sam Houston State University","",""
"Sam Houston State University","Alpha Delta Pi",""
"Sam Houston State University","Zeta Tau Alpha",""
"Samford University","Alpha Delta Pi",""
"Samford University","Delta Sigma Theta",""
"Samford University","Zeta Tau Alpha",""
"Samford University","Delta Delta Delta",""
"Samford University","Alpha Omicron Pi",""
"Samford University","Phi Mu",""
"Samford University","Delta Xi Phi",""
"Samford University","Chi Omega",""
"Samford University","Alpha Kappa Alpha",""
"San Diego State University","Alpha Chi Omega",""
"San Diego State University","Kappa Delta",""
"San Diego State University","Sigma Gamma Rho",""
"San Diego State University","",""
"San Diego State University","Delta Sigma Theta",""
"San Diego State University","Gamma Phi Beta",""
"San Diego State University","Alpha Kappa Alpha",""
"San Diego State University","Pi Beta Phi",""
"San Diego State University","Delta Gamma",""
"San Diego State University","Alpha Gamma Delta",""
"San Diego State University","Lambda Sigma Gamma",""
"San Diego State University","Kappa Alpha Theta",""
"San Diego State University","Alpha Phi",""
"San Diego State University","Delta Zeta",""
"San Diego State University","Sigma Phi Omega",""
"San Diego State University","Sigma Theta Psi",""
"San Diego State University","Alpha Epsilon Phi",""
"San Diego State University","Sigma Kappa",""
"San Francisco State University","Lambda Sigma Gamma",""
"San Francisco State University","Phi Sigma Sigma",""
"San Francisco State University","Alpha Gamma Delta",""
"San Francisco State University","Zeta Phi Beta",""
"San Francisco State University","Alpha Phi",""
"San Francisco State University","Alpha Kappa Alpha",""
"San Francisco State University","Sigma Gamma Rho",""
"San Francisco State University","Delta Sigma Theta",""
"San Jose State University","",""
"San Jose State University","Alpha Omicron Pi",""
"San Jose State University","Delta Gamma",""
"San Jose State University","Kappa Delta",""
"San Jose State University","Sigma Theta Psi",""
"San Jose State University","Delta Zeta",""
"San Jose State University","Delta Sigma Theta",""
"San Jose State University","Lambda Sigma Gamma",""
"San Jose State University","Alpha Phi",""
"San Jose State University","Alpha Xi Delta",""
"Santa Clara University","",""
"Santa Clara University","Kappa Kappa Gamma",""
"Santa Clara University","Alpha Delta Pi",""
"Santa Clara University","Kappa Alpha Theta",""
"Santa Clara University","Lambda Sigma Gamma",""
"Santa Clara University","Delta Gamma",""
"Santa Clara University","Alpha Phi",""
"Savannah State University","Delta Sigma Theta",""
"Savannah State University","Zeta Phi Beta",""
"Savannah State University","Sigma Gamma Rho",""
"Savannah State University","Alpha Kappa Alpha",""
"Schreiner University","Delta Phi Epsilon",""
"Schreiner University","Alpha Sigma Alpha",""
"Seton Hall University","Alpha Phi",""
"Seton Hall University","Zeta Phi Beta",""
"Seton Hall University","Zeta Tau Alpha",""
"Seton Hall University","Alpha Sigma Tau",""
"Seton Hall University","Alpha Omicron Pi",""
"Seton Hall University","Delta Phi Epsilon",""
"Seton Hall University","Alpha Kappa Alpha",""
"Seton Hall University","Sigma Sigma Sigma",""
"Seton Hall University","Delta Sigma Theta",""
"Seton Hall University","Alpha Gamma Delta",""
"Shaw University","Alpha Kappa Alpha",""
"Shaw University","Zeta Phi Beta",""
"Shaw University","Theta Phi Alpha",""
"Shaw University","Sigma Gamma Rho",""
"Shaw University","Delta Sigma Theta",""
"Shorter University","Zeta Tau Alpha",""
"Shorter University","Phi Mu",""
"Shorter University","Alpha Delta Pi",""
"Siena College","Phi Sigma Sigma",""
"Simon Fraser University","Tau Sigma Phi",""
"Simon Fraser University","Delta Alpha Theta",""
"Simon Fraser University","Kappa Beta Gamma",""
"Simon Fraser University","Alpha Pi Phi",""
"Simpson College","Kappa Kappa Gamma",""
"Simpson College","Delta Delta Delta",""
"Simpson College","Pi Beta Phi",""
"South Carolina State University","Zeta Phi Beta",""
"South Carolina State University","Sigma Gamma Rho",""
"South Carolina State University","Alpha Kappa Alpha",""
"South Carolina State University","",""
"South Carolina State University","Delta Sigma Theta",""
"South Dakota School of Mines and Technology","Alpha Delta Pi",""
"South Dakota State University","Alpha Omega Epsilon",""
"South Dakota State University","Alpha Xi Delta",""
"South Dakota State University","Chi Omega",""
"Southeast Missouri State University","",""
"Southeastern Louisiana University","Sigma Gamma Rho",""
"Southeastern Louisiana University","Sigma Sigma Sigma",""
"Southeastern Louisiana University","Phi Mu",""
"Southeastern Louisiana University","Delta Sigma Theta",""
"Southeastern Louisiana University","Alpha Sigma Tau",""
"Southeastern Louisiana University","Zeta Phi Beta",""
"Southeastern Louisiana University","Alpha Omicron Pi",""
"Southeastern Louisiana University","Theta Phi Alpha",""
"Southern Arkansas University","Sigma Alpha",""
"Southern Arkansas University","Zeta Phi Beta",""
"Southern Arkansas University","Alpha Sigma Alpha",""
"Southern Arkansas University","Phi Mu",""
"Southern Arkansas University","Sigma Phi Lambda",""
"Southern Arkansas University","Sigma Sigma Sigma",""
"Southern Arkansas University","Alpha Kappa Alpha",""
"Southern Arkansas University","Sigma Gamma Rho",""
"Southern Arkansas University","Delta Sigma Theta",""
"Southern Illinois University-Carbondale","",""
"Southern Methodist University","Sigma Phi Omega",""
"Southern Methodist University","Delta Gamma",""
"Southern Methodist University","Chi Omega",""
"Southern Methodist University","Delta Delta Delta",""
"Southern Methodist University","Gamma Phi Beta",""
"Southern Methodist University","Kappa Kappa Gamma",""
"Southern Methodist University","Alpha Chi Omega",""
"Southern Methodist University","Kappa Alpha Theta",""
"Southern Methodist University","Pi Beta Phi",""
"Southern Methodist University","Alpha Kappa Alpha",""
"Southern Methodist University","Delta Sigma Theta",""
"Southern Methodist University","",""
"Southern Mississippi","Alpha Chi Omega",""
"Southern Mississippi","Pi Beta Phi",""
"Southern Mississippi","Delta Sigma Theta",""
"Southern Mississippi","Delta Gamma",""
"Southern Mississippi","Delta Delta Delta",""
"Southern Mississippi","Phi Mu",""
"Southern Mississippi","Alpha Kappa Alpha",""
"Southern Mississippi","Chi Omega",""
"Southern Mississippi","Alpha Delta Pi",""
"Southern Mississippi","Zeta Phi Beta",""
"Southern Mississippi","Kappa Delta",""
"Southern Mississippi","Sigma Gamma Rho",""
"Southern New Hampshire University","Kappa Delta Phi NAS",""
"Southern University and A&M College","Zeta Phi Beta",""
"Southern University and A&M College","Alpha Kappa Alpha",""
"Southern University and A&M College","Delta Sigma Theta",""
"Southern University and A&M College","Sigma Gamma Rho",""
"Southern Utah University","",""
"Southern Utah University","Alpha Phi",""
"Southwestern University","Alpha Xi Delta",""
"Southwestern University","Delta Delta Delta",""
"Southwestern University","Zeta Tau Alpha",""
"Southwestern University","Alpha Delta Pi",""
"Spalding University","Zeta Phi Beta",""
"Spalding University","Alpha Kappa Alpha",""
"Spring Hill College","Delta Sigma Theta",""
"Spring Hill College","Alpha Kappa Alpha",""
"Spring Hill College","Sigma Kappa",""
"Spring Hill College","Phi Mu",""
"Spring Hill College","Delta Gamma",""
"Spring Hill College","Delta Delta Delta",""
"St. Cloud State University","Delta Zeta",""
"St. Cloud State University","Theta Phi Alpha",""
"St. Cloud State University","Delta Phi Epsilon",""
"Stanford University","","@stanfordsigmachi"
"Stephen F. Austin State University","",""
"Stetson University","Zeta Tau Alpha",""
"Stetson University","Delta Delta Delta",""
"Stetson University","Alpha Chi Omega",""
"Stetson University","Sigma Gamma Rho",""
"Stetson University","Kappa Alpha Theta",""
"Stetson University","Alpha Xi Delta",""
"Stetson University","Pi Beta Phi",""
"Stevens Institute of Technology","Delta Phi Epsilon",""
"Stevens Institute of Technology","Sigma Delta Tau",""
"Stevens Institute of Technology","Theta Phi Alpha",""
"Stevens Institute of Technology","Omega Phi Beta",""
"Stevens Institute of Technology","Phi Sigma Sigma",""
"Stevens Institute of Technology","Alpha Phi",""
"Stevenson University","Alpha Kappa Alpha",""
"Stevenson University","Phi Sigma Sigma",""
"Stockton University","Delta Delta Delta",""
"Stockton University","Sigma Sigma Sigma",""
"Stockton University","Delta Zeta",""
"Stockton University","Zeta Phi Beta",""
"Stockton University","Zeta Tau Alpha",""
"Stockton University","Chi Upsilon Sigma",""
"Stockton University","Sigma Delta Tau",""
"Stockton University","Delta Sigma Theta",""
"Stockton University","Alpha Kappa Alpha",""
"Stockton University","Sigma Kappa",""
"Stockton University","Chi Omega",""
"Stockton University","Delta Phi Epsilon",""
"Suffolk University","Theta Phi Alpha",""
"Suffolk University","Alpha Sigma Alpha",""
"Susquehanna University","Zeta Tau Alpha",""
"Susquehanna University","Alpha Delta Pi",""
"Susquehanna University","Sigma Gamma Rho",""
"Susquehanna University","Sigma Kappa",""
"Susquehanna University","Kappa Delta",""
"Swarthmore College","Kappa Alpha Theta",""
"Syracuse University","Delta Phi Epsilon",""
"Syracuse University","Gamma Phi Beta",""
"Syracuse University","Phi Sigma Sigma",""
"Syracuse University","Kappa Alpha Theta",""
"Syracuse University","","@susigmachi"
"Syracuse University","Pi Beta Phi",""
"Syracuse University","Delta Sigma Theta",""
"Syracuse University","Alpha Epsilon Phi",""
"Syracuse University","Alpha Kappa Alpha",""
"Syracuse University","Sigma Gamma Rho",""
"Syracuse University","Alpha Chi Omega",""
"Syracuse University","Alpha Phi",""
"Syracuse University","Delta Delta Delta",""
"Syracuse University","Sigma Delta Tau",""
"Syracuse University","Kappa Kappa Gamma",""
"Syracuse University","Delta Gamma",""
"Syracuse University","Alpha Xi Delta",""
"Syracuse University","Alpha Gamma Delta",""
"Tarleton State University","Phi Mu",""
"Tarleton State University","Alpha Gamma Delta",""
"Tarleton State University","Delta Zeta",""
"Tarleton State University","Sigma Alpha",""
"Tarleton State University","Zeta Phi Beta",""
"Tarleton State University","Delta Phi Epsilon",""
"Tarleton State University","",""
"Tarleton State University","Alpha Omicron Pi",""
"Temple University","Zeta Phi Beta",""
"Temple University","Alpha Xi Delta",""
"Temple University","Delta Zeta",""
"Temple University","",""
"Temple University","",""
"Temple University","",""
"Temple University","",""
"Temple University","",""
"Temple University","",""
"Temple University","",""
"Temple University","Alpha Sigma Rho",""
"Temple University","Delta Sigma Theta",""
"Temple University","Alpha Epsilon Phi",""
"Temple University","Delta Delta Delta",""
"Temple University","Delta Phi Epsilon",""
"Temple University","Alpha Kappa Alpha",""
"Temple University","Phi Sigma Sigma",""
"Tennessee State University","Zeta Phi Beta",""
"Tennessee State University","Sigma Gamma Rho",""
"Tennessee State University","Delta Sigma Theta",""
"Tennessee State University","Alpha Kappa Alpha",""
"Tennessee Tech University","",""
"Tennessee Technological University","Omega Phi Alpha",""
"Tennessee Technological University","Phi Mu",""
"Tennessee Technological University","Kappa Delta",""
"Tennessee Technological University","Delta Gamma",""
"Tennessee Technological University","Delta Phi Epsilon",""
"Tennessee Technological University","Alpha Delta Pi",""
"Texas A&M International University","",""
"Texas A&M University","Kappa Kappa Gamma",""
"Texas A&M University","Alpha Sigma Alpha",""
"Texas A&M University","Alpha Gamma Delta",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","","@tamusicmachi"
"Texas A&M University","Kappa Delta Chi",""
"Texas A&M University","",""
"Texas A&M University","Delta Sigma Chi",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","Kappa Alpha Theta",""
"Texas A&M University","Delta Zeta",""
"Texas A&M University","Alpha Chi Omega",""
"Texas A&M University","Zeta Tau Alpha",""
"Texas A&M University","Gamma Phi Beta",""
"Texas A&M University","Alpha Delta Pi",""
"Texas A&M University","Pi Beta Phi",""
"Texas A&M University","Kappa Delta",""
"Texas A&M University","Delta Gamma",""
"Texas A&M University","Alpha Kappa Alpha",""
"Texas A&M University","Alpha Omicron Pi",""
"Texas A&M University","Delta Delta Delta",""
"Texas A&M University","Sigma Phi Lambda",""
"Texas A&M University","Zeta Phi Beta",""
"Texas A&M University","Sigma Gamma Rho",""
"Texas A&M University","Chi Omega",""
"Texas A&M University","Alpha Epsilon Phi",""
"Texas A&M University","Sigma Phi Omega",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","",""
"Texas A&M University","Delta Sigma Theta",""
"Texas A&M University","Alpha Phi",""
"Texas A&M University","Theta Phi Alpha",""
"Texas A&M University","Delta Phi Epsilon",""
"Texas A&M University","",""
"Texas Christian University","","@sigmachitcu"
"Texas Christian University","Delta Sigma Chi",""
"Texas Southern University","Delta Sigma Theta",""
"Texas Southern University","Zeta Phi Beta",""
"Texas Southern University","Sigma Gamma Rho",""
"Texas Southern University","Alpha Kappa Alpha",""
"Texas State University","Alpha Kappa Alpha",""
"Texas State University","Delta Sigma Theta",""
"Texas State University","Alpha Gamma Delta",""
"Texas State University","Delta Gamma",""
"Texas State University","Alpha Delta Pi",""
"Texas State University","Gamma Phi Beta",""
"Texas State University","Delta Zeta",""
"Texas State University","Alpha Xi Delta",""
"Texas State University","Zeta Tau Alpha",""
"Texas State University","Chi Omega",""
"Texas Tech University","Kappa Kappa Gamma",""
"Texas Tech University","Delta Gamma",""
"Texas Tech University","Chi Omega",""
"Texas Tech University","Alpha Delta Pi",""
"Texas Tech University","Alpha Phi",""
"Texas Tech University","Zeta Tau Alpha",""
"Texas Tech University","Pi Beta Phi",""
"Texas Tech University","Kappa Alpha Theta",""
"Texas Tech University","Alpha Chi Omega",""
"Texas Tech University","Delta Delta Delta",""
"Texas Tech University","","@texastech.sigmachi"
"Texas Tech University","Kappa Delta",""
"Texas Tech University","Alpha Kappa Alpha",""
"Texas Tech University","Delta Sigma Theta",""
"Texas Tech University","Alpha Xi Delta",""
"Texas Tech University","Delta Sigma Chi",""
"Texas Tech University","Zeta Phi Beta",""
"The College of Idaho","",""
"The College of New Jersey","Lambda Theta Alpha",""
"The College of New Jersey","Kappa Delta",""
"The College of New Jersey","Delta Phi Epsilon",""
"The College of New Jersey","Theta Phi Alpha",""
"The College of New Jersey","Delta Zeta",""
"The College of New Jersey","Sigma Sigma Sigma",""
"The College of New Jersey","Zeta Tau Alpha",""
"The College of New Jersey","Sigma Kappa",""
"The College of New Jersey","Alpha Xi Delta",""
"The College of New Jersey","Alpha Kappa Alpha",""
"The College of New Jersey","Chi Upsilon Sigma",""
"The College of New Jersey","Lambda Tau Omega",""
"The College of New Jersey","Phi Sigma Sigma",""
"The College of New Jersey","Sigma Lambda Gamma",""
"The College of New Jersey","Sigma Sigma Rho",""
"The College of New Jersey","Zeta Phi Beta",""
"The College of New Jersey","Delta Sigma Theta",""
"The George Washington University","Sigma Kappa",""
"The George Washington University","Sigma Delta Tau",""
"The George Washington University","Phi Sigma Sigma",""
"The George Washington University","Kappa Delta",""
"The George Washington University","",""
"The George Washington University","Pi Beta Phi",""
"The George Washington University","Alpha Delta Pi",""
"The George Washington University","Sigma Sigma Rho",""
"The George Washington University","Sigma Psi Zeta",""
"The George Washington University","Sigma Lambda Upsilon",""
"The George Washington University","Mu Sigma Upsilon",""
"The George Washington University","Lambda Pi Chi",""
"The George Washington University","Delta Gamma",""
"The George Washington University","Kappa Alpha Theta",""
"The George Washington University","Chi Omega",""
"The George Washington University","Alpha Phi",""
"The George Washington University","Kappa Kappa Gamma",""
"The George Washington University","Alpha Epsilon Phi",""
"The George Washington University","Delta Sigma Theta",""
"The George Washington University","Zeta Phi Beta",""
"The George Washington University","Alpha Kappa Alpha",""
"The George Washington University","Kappa Phi Lambda",""
"The Ohio University","Gamma Phi Beta",""
"The Ohio University","Chi Omega",""
"The Ohio University","Alpha Omicron Pi",""
"The Ohio University","Alpha Delta Pi",""
"The Ohio University","Sigma Gamma Rho",""
"The Ohio University","Alpha Kappa Alpha",""
"The Ohio University","Delta Sigma Theta",""
"The Ohio University","Alpha Xi Delta",""
"The Ohio University","Delta Zeta",""
"The Ohio University","Sigma Kappa",""
"The Ohio University","Pi Beta Phi",""
"The Ohio University","Alpha Gamma Delta",""
"The Ohio University","Delta Gamma",""
"The University of Akron","Alpha Kappa Alpha",""
"The University of Akron","Zeta Phi Beta",""
"The University of Akron","Delta Zeta",""
"The University of Akron","Kappa Kappa Gamma",""
"The University of Akron","Alpha Gamma Delta",""
"The University of Akron","Delta Gamma",""
"The University of Akron","Alpha Delta Pi",""
"The University of Akron","Alpha Phi",""
"The University of Alabama","","@pikes_bama"
"The University of Alabama","","@sae_bama"
"The University of Alabama","Phi Mu",""
"The University of Alabama","Chi Omega",""
"The University of Alabama","Alpha Chi Omega",""
"The University of Alabama","Alpha Gamma Delta",""
"The University of Alabama","Pi Beta Phi",""
"The University of Alabama","Alpha Delta Pi",""
"The University of Alabama","Zeta Tau Alpha",""
"The University of Alabama","Delta Delta Delta",""
"The University of Alabama","Kappa Delta",""
"The University of Alabama","Delta Zeta",""
"The University of Alabama","Kappa Kappa Gamma",""
"The University of Alabama","Alpha Omicron Pi",""
"The University of Alabama","Alpha Phi",""
"The University of Alabama","Delta Gamma",""
"The University of Alabama","Gamma Phi Beta",""
"The University of Alabama","Sigma Kappa",""
"The University of Alabama","Kappa Alpha Theta",""
"The University of Alabama","Sigma Delta Tau",""
"The University of Alabama","Alpha Kappa Alpha",""
"The University of Alabama","Delta Sigma Theta",""
"The University of Alabama","Alpha Omega Epsilon",""
"The University of Alabama","Alpha Delta Chi",""
"The University of Alabama","Sigma Gamma Rho",""
"The University of Alabama","Zeta Phi Beta",""
"The University of Alabama","Kappa Beta Gamma",""
"The University of Alabama","Sigma Sigma Rho",""
"The University of Alabama","Alpha Xi Delta",""
"The University of Alabama","Delta Phi Omega",""
"The University of Alabama","","@sigmachi_bama"
"The University of Tennessee at Chattanooga","Chi Omega",""
"The University of Tennessee at Chattanooga","Sigma Kappa",""
"The University of Tennessee at Chattanooga","Delta Zeta",""
"The University of Tennessee at Chattanooga","Alpha Gamma Delta",""
"The University of Tennessee at Chattanooga","Kappa Delta",""
"The University of Tennessee at Chattanooga","Sigma Phi Lambda",""
"The University of Tennessee at Chattanooga","Gamma Phi Beta",""
"The University of Tennessee at Chattanooga","Sigma Gamma Rho",""
"The University of Tennessee at Chattanooga","Alpha Kappa Alpha",""
"The University of Tennessee at Chattanooga","Zeta Phi Beta",""
"The University of Tennessee at Chattanooga","Alpha Delta Pi",""
"The University of Tennessee at Martin","Zeta Tau Alpha",""
"The University of Tennessee at Martin","Alpha Delta Pi",""
"The University of Tennessee at Martin","Alpha Omicron Pi",""
"The University of Tennessee at Martin","Delta Sigma Theta",""
"The University of Tennessee at Martin","Chi Omega",""
"The University of Tennessee at Martin","Zeta Phi Beta",""
"The University of Tennessee at Martin","Alpha Kappa Alpha",""
"The University of Tennessee at Martin","Sigma Alpha",""
"The University of Texas at Arlington","Delta Sigma Theta",""
"The University of Texas at Arlington","Delta Zeta",""
"The University of Texas at Arlington","Alpha Kappa Alpha",""
"The University of Texas at Arlington","Alpha Chi Omega",""
"The University of Texas at Arlington","Zeta Phi Beta",""
"The University of Texas at Arlington","Zeta Tau Alpha",""
"The University of Texas at Arlington","Delta Delta Delta",""
"The University of Texas at Arlington","Sigma Lambda Gamma",""
"The University of Texas at Arlington","Sigma Gamma Rho",""
"The University of Texas at Austin","Zeta Tau Alpha",""
"The University of Texas at Austin","Chi Omega",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","Delta Sigma Chi",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","",""
"The University of Texas at Austin","Sigma Gamma Rho",""
"The University of Texas at Austin","Sigma Phi Omega",""
"The University of Texas at Austin","Zeta Phi Beta",""
"The University of Texas at Austin","Alpha Kappa Alpha",""
"The University of Texas at Austin","Delta Sigma Theta",""
"The University of Texas at Austin","Sigma Delta Tau",""
"The University of Texas at Austin","Kappa Kappa Gamma",""
"The University of Texas at Austin","Pi Beta Phi",""
"The University of Texas at Austin","Delta Gamma",""
"The University of Texas at Austin","Sigma Phi Lambda",""
"The University of Texas at Austin","Kappa Alpha Theta",""
"The University of Texas at Austin","Kappa Delta",""
"The University of Texas at Austin","Alpha Xi Delta",""
"The University of Texas at Austin","Alpha Chi Omega",""
"The University of Texas at Austin","Delta Delta Delta",""
"The University of Texas at Austin","Alpha Epsilon Phi",""
"The University of Texas at Austin","Alpha Delta Pi",""
"The University of Texas at Austin","Alpha Phi",""
"The University of Texas at El Paso","Alpha Sigma Alpha",""
"The University of Texas at El Paso","Alpha Xi Delta",""
"The University of Texas at El Paso","Zeta Tau Alpha",""
"The University of Texas at El Paso","Alpha Kappa Alpha",""
"The University of Texas at El Paso","Delta Sigma Theta",""
"The University of Texas at El Paso","Zeta Phi Beta",""
"The University of Texas at San Antonio","Sigma Lambda Gamma",""
"The University of Texas at San Antonio","Zeta Phi Beta",""
"The University of Texas at San Antonio","Alpha Sigma Rho",""
"The University of Texas at San Antonio","Alpha Omicron Pi",""
"The University of Texas at San Antonio","Phi Mu",""
"The University of Texas at San Antonio","Gamma Phi Beta",""
"The University of Texas at San Antonio","Kappa Delta Chi",""
"The University of Texas at San Antonio","Zeta Tau Alpha",""
"The University of Texas at San Antonio","Delta Xi Nu",""
"The University of Texas at San Antonio","Alpha Kappa Alpha",""
"The University of Texas at San Antonio","Delta Sigma Theta",""
"The University of Texas at San Antonio","Alpha Sigma Alpha",""
"The University of Texas at San Antonio","Sigma Gamma Rho",""
"The University of Texas at San Antonio","Sigma Kappa",""
"The University of Tulsa","Delta Delta Delta",""
"The University of Tulsa","Delta Sigma Theta",""
"The University of Tulsa","Chi Omega",""
"The University of Tulsa","Alpha Kappa Alpha",""
"The University of Tulsa","Kappa Kappa Gamma",""
"The University of Tulsa","Kappa Delta",""
"The University of Tulsa","Delta Gamma",""
"The University of Tulsa","Kappa Alpha Theta",""
"The University of Tulsa","",""
"Thiel College","Sigma Kappa",""
"Thiel College","Alpha Xi Delta",""
"Thiel College","Zeta Tau Alpha",""
"Thiel College","Chi Omega",""
"Thomas More University","Theta Phi Alpha",""
"Towson University","",""
"Towson University","Kappa Delta",""
"Towson University","",""
"Towson University","Sigma Alpha Omega",""
"Towson University","Delta Sigma Theta",""
"Towson University","Alpha Epsilon Phi",""
"Towson University","Alpha Omicron Pi",""
"Towson University","Alpha Gamma Delta",""
"Towson University","Delta Delta Delta",""
"Towson University","Delta Phi Epsilon",""
"Towson University","Phi Sigma Sigma",""
"Towson University","Alpha Phi",""
"Towson University","Phi Mu",""
"Towson University","Zeta Tau Alpha",""
"Towson University","Alpha Xi Delta",""
"Transylvania University","Delta Delta Delta",""
"Transylvania University","Phi Mu",""
"Transylvania University","Alpha Omicron Pi",""
"Transylvania University","Chi Omega",""
"Trine University","Alpha Sigma Tau",""
"Trine University","Theta Phi Alpha",""
"Trinity College","Kappa Kappa Gamma",""
"Trinity College","Alpha Chi Omega",""
"Troy University","Zeta Phi Beta",""
"Troy University","",""
"Troy University","Sigma Gamma Rho",""
"Troy University","Alpha Delta Pi",""
"Troy University","Chi Omega",""
"Troy University","Kappa Delta",""
"Troy University","Alpha Gamma Delta",""
"Troy University","Phi Mu",""
"Troy University","Alpha Omicron Pi",""
"Troy University","Alpha Kappa Alpha",""
"Troy University","Delta Sigma Theta",""
"Truman State University","Delta Sigma Theta",""
"Truman State University","Alpha Sigma Alpha",""
"Truman State University","Sigma Sigma Sigma",""
"Truman State University","Sigma Kappa",""
"Truman State University","Alpha Gamma Delta",""
"Truman State University","Delta Phi Epsilon",""
"Truman State University","Delta Zeta",""
"Truman State University","Sigma Gamma Rho",""
"Truman State University","Alpha Kappa Alpha",""
"Truman State University","Zeta Phi Beta",""
"Tufts University","Chi Omega",""
"Tufts University","Alpha Phi",""
"Tufts University","Kappa Alpha Theta",""
"Tufts University","Alpha Omicron Pi",""
"Tulane University","Kappa Kappa Gamma",""
"Tulane University","",""
"Tulane University","Zeta Phi Beta",""
"Tulane University","Delta Sigma Theta",""
"Tulane University","Alpha Kappa Alpha",""
"Tulane University","Alpha Epsilon Phi",""
"Tulane University","Alpha Delta Pi",""
"Tulane University","Sigma Delta Tau",""
"Tulane University","Pi Beta Phi",""
"Tulane University","Phi Mu",""
"Tulane University","Chi Omega",""
"Tulane University","Kappa Alpha Theta",""
"Tuskegee University","Sigma Gamma Rho",""
"Tuskegee University","Alpha Kappa Alpha",""
"Tuskegee University","Delta Sigma Theta",""
"Tuskegee University","Zeta Phi Beta",""
"Union College","",""
"Union University","Delta Phi Epsilon",""
"Union University","Zeta Tau Alpha",""
"Union University","Kappa Delta",""
"Union University","Chi Omega",""
"Union University","Delta Delta Delta",""
"Union University","Sigma Delta Tau",""
